sofifa_id,short_name,age,dob,height_cm,weight_kg,nationality,club,overall,potential,player_positions,preferred_foot,international_reputation,contract_valid_until
134956,L. Cana,30,27/07/1983,186,77,Albania,Lazio,77,77,CB,Right,2,2016
184881,S. Feghouli,24,26/12/1989,177,71,Algeria,Valencia CF,81,88,"RM, RW",Right,2,2016
184267,Y. Brahimi,24,08/02/1990,175,66,Algeria,FC Porto,77,81,"LW, RW",Right,2,2019
201454,F. Ghoulam,23,01/02/1991,188,80,Algeria,Napoli,75,81,LB,Left,1,2018
201143,A. Mandi,22,22/10/1991,184,78,Algeria,Stade de Reims,75,79,"RB, CB",Right,1,2017
209473,N. Ghilas,24,20/04/1990,183,85,Algeria,Cordoba CF,75,79,"ST, RW",Right,1,2015
217699,I. Slimani,26,18/06/1988,188,79,Algeria,Sporting CP,75,78,ST,Right,2,2017
158023,L. Messi,27,24/06/1987,169,67,Argentina,FC Barcelona,93,95,CF,Left,5,2018
170481,E. Garay,27,10/10/1986,188,80,Argentina,Zenit St. Petersburg,83,85,CB,Right,3,2019
142754,J. Mascherano,30,08/06/1984,174,74,Argentina,FC Barcelona,83,83,CB,Right,3,2018
142784,P. Zabaleta,29,16/01/1985,178,76,Argentina,Manchester City,82,82,RB,Right,3,2017
152999,R. Palacio,32,05/02/1982,175,70,Argentina,Inter,82,82,ST,Right,2,2016
159065,E. Lavezzi,29,03/05/1985,173,75,Argentina,Paris Saint-Germain,82,82,"LW, ST",Right,3,2016
178562,E. Banega,26,29/06/1988,174,71,Argentina,Sevilla FC,80,85,"CM, CDM",Right,2,2016
192366,N. Otamendi,26,12/02/1988,183,75,Argentina,Valencia CF,80,84,CB,Right,2,2019
179847,F. Fazio,27,17/03/1987,195,91,Argentina,Tottenham Hotspur,80,80,CB,Right,2,2018
188791,A. Costa,29,09/01/1985,176,75,Argentina,Spartak Moscow,80,80,CM,Left,2,2017
186547,M. Musacchio,23,26/08/1990,182,80,Argentina,Villarreal CF,79,85,"CB, CDM",Right,1,2018
191180,J. Pastore,25,20/06/1989,187,78,Argentina,Paris Saint-Germain,79,85,"CM, LM",Right,3,2016
190972,E. Salvio,23,13/07/1990,171,70,Argentina,SL Benfica,79,84,RM,Right,2,2017
201862,M. Rojo,24,20/03/1990,186,82,Argentina,Manchester United,79,82,"CB, LB",Left,3,2019
